id,created_at,text
792439080227250176,2016-10-29 18:52:54,RT @AlisonBLowndes: Just to prove how cool #deeplearning is this is #Daftpunk  playing at @DeepMindAI in London #AI via @sindero https://t.…
792385467387740160,2016-10-29 15:19:51,RT @explore_gadgets: Wishing everybody a happy and prosperous Diwali / Tihar 💥💣
792322555180756992,2016-10-29 11:09:52,RT @BinodKChaudhary: Such a warm meeting with hon tony Blair at jp Morgan meeting in Paris. His family's affection for nepal is laudable. h…
792322472192331776,2016-10-29 11:09:32,RT @dbreunig: Apple's fastest growing product category. https://t.co/d1sel4N5Yc
792322410938667009,2016-10-29 11:09:18,RT @explore_gadgets: Working on many videos at once doesn't help 😑 lesson learnt !  Shooting #iphone7plus accessories #potraitmode https://…
792322277069115392,2016-10-29 11:08:46,RT @SumanEmpty: भैलेनी आइन आगन wi-fi  को passport मागन गाई तिहरो भैलो
792319554680606720,2016-10-29 10:57:57,@verscend data shouldn't be compromised enough security measures should be applied for protecting #healthcare #data https://t.co/dRydIVE5nH
792318571082686464,2016-10-29 10:54:02,"Just talked to my sister and I miss her so much.
#vanji #miss them #love
#Tihar will be our time https://t.co/YpG8gS0jU5"
792175972036468736,2016-10-29 01:27:24,"RT @Vijaykumarko: भारतका राष्टपति आउदा १ दिन , चीनका लाइ २ र अमरिका'का आए ३ दिन बिदा दिए कसो होला ? 
# जय समानुपातिक राष्ट्रवाद  :-)"
792027444823732225,2016-10-28 15:37:12,RT @valleytraffic: #SaveFootpath माईतिघर-तिनकुने सडकलाई अनाधिकृत पार्किङ मुक्त बनाउने प्रयास जारी छ । @lendaai @NepalPoliceHQ @Hello_Sarkar…
792026297677418496,2016-10-28 15:32:39,Question on @Quora: How can I build an AI? https://t.co/0rqH5lR0W1
792020437764976640,2016-10-28 15:09:22,@KTMLivingLabs https://t.co/ew7GIj9xEC
792019489755758592,2016-10-28 15:05:36,Two Minute Papers - Image Editing with Generative Adversarial Networks https://t.co/2eCI72LBQI via @YouTube
792018078846418945,2016-10-28 14:59:59,RT @nepaltourismb: #Nepal : listed as the best value travel destination big 2017 #lonelyplanet #Nepal #travelnepal https://t.co/vqMfO6zYhj
792018033967378432,2016-10-28 14:59:48,"RT @MIT_CSAIL: MIT launches The Engine, an innovation incubator that puts impact over profit: https://t.co/4FFzjZWJNP https://t.co/HPZ6JduO…"
792017984453685248,2016-10-28 14:59:37,RT @fchollet: New Google Brain blog post: supercharging style transfer (with latent spaces of style) https://t.co/kgkwt1Gngz https://t.co/f…
792017896893403137,2016-10-28 14:59:16,RT @neuroconscience: Just in time for Halloween MIT introduces their deep-learning based 'nightmare machine' https://t.co/VuFdbQelFp https:…
